Unnamed: 0,Unnamed: 0.1,id,type,date,betterDate,title,abstract
Uw organisatie heeft inbreng geleverd voor de ontwikkelperspectieven. Graag willen wij deze de komende tijd verder uitwerken, met uen met andere partners, inclusief het Rijk. 

Tijdens de bijeenkomst woensdag willen wij u vragen of u onze oproep aan het Rijk kunt onderschrijven en ondersteunen. 

Graag zien wij u op 27 juni. Bij vragen kunt u contact opnemen met ondergetekende of | 

Met vriendelijke groet, 

namens gedeputeerden Henk Brink en Tjisse Stelpstra, 

provincie Drenthe 

Team Economie 

Postbus 122 

9400 AC Assen 

drenthe.nl l
















































































"
1863,1896,16.904,Mail,2016-10-19 00:00:00,2016-10-19 14:21:55,RE  Mijnbouwactiviteiten ,"




16.904 
    Date : 19-10-2016 14:21:55 

F nn 
To : ""B sc nl, NN rl 
Subject : RE: Mijnbouwactiviteiten 



Overigens had ik de e-mail niet ontvangen, dus is het lijntje hier kennelijk al gelegd. 

Van: mn 
Verzonden: woensdag 19 oktober 2016 14:13 

Aan: nn 
Onderwerp: RE: Mijnbouwactiviteiten 

Dag allemaal, 

Voor ons is de actie zinloos. Binnen onze gemeenten is er voldoende aandacht voor zowel ambtelijk als bestuurlijk. 

Deze actie is zeker niet afgesproken tijdens het bestuurlijk overleg afgelopen vrijdag. Dit was al eerder in gang gezet. 

Maar er zijn ook gemeenten binnen het plan Westerveld die niet erg actief zijn. Volgens mij is de actie daarop gericht. 

Wij voelen ons niet aangesproken toch? Wij laten voldoende van ons zien horen. Het gaat ons ook het meeste aan. 

Met vriendelijke groeten, 

Beleidsspecialist 

Gemeente Assen 

Noordersingel 33 | Assen 

Postbus 30018 | 9400 RA | Assen 

T 0592 - 366 EM 

mon 

EC MM eessen.nl 
website: www.assen.nl 

Van: EN nie EN @aaenhunze.nll 

Verzonden: woensdag 19 oktober 2016 13:56 

Aan: tynaarlo.nl> 

CC: assen.nl> 

Onderwerp: RE: Mijnbouwactiviteiten 

Ik vind het op zich prima dat de provincie hierover contact heeft met onze managers. 

Sterker misschien is deze actie wel afgesproken in het overleg van onze bestuurders afgelopen vrijdag (verslagj 

Zo niet dan dat erbij betrekken: 

Kosten advisering winningsplannen 

EN: Provincie Drenthe betaalt het uit eigen zak. Gemeenten hebben geen budget gekregen. In Groningen wel. Provincie Drenthe is koploper t.a.v. ondergrond. Provincie heeft als eerste provincie een 

visie op de ondergrond en heeft geologische kennis en expertise in huis. 

BEN vil graag samen optrekken bij adviesrol en dat provincie het voortouw hierin neemt. 

Thema’s in advies: Schade en communicatie zijn voor gemeenten belangrijke thema's 

EN: Ook veiligheid meenemen. 

Overigens kan ik me voorstellen dat het voor jou niet nodig is (met iemand die de NAM wil afbreken) © . 

Van: EN aio Dt ynaarlo.nl] 

Verzonden: woensdag 19 oktober 2016 13:04 

Aan: 
Onderwerp: RE: Mijnbouwactiviteiten 

Dank. 

Werken ze daar nu volledig langs elkaar heen op het provinciehuis? 

Verder lijkt een overleg met mijn leidinggevende me volstrekt zinloos en tijdverspilling. Aandacht en commitment voor dit thema is bij ons zeker wel aanwezig. 

Van: EN zilte: @aaenhunze.nl] 

Verzonden: woensdag 19 oktober 2016 13:00 

Aan: Ún. 
Onderwerp: RE: Mijnbouwactiviteiten 

Beste 

Van Harte Gefeliciteerd 

Wat vind jij er zelf van ? 

Groeten EM 

Van: EN co naar lo.nl] 

Verzonden: woensdag 19 oktober 2016 12:36 

Aan: 
Onderwerp: FW: Mijnbouwactiviteiten 

Wat vindt jij hiervan? 

Van io @ dr enthe.nl] 

Verzonden: woensdag 19 oktober 2016 10:44 

Aan: BEM vdodelt.nl'; BEM@noorderzijlvest.nl; EMeassen.nl'; BEM@borger-odoorn.nl'; BM@coevorden.nl;, HM eemmen.nl; 
ede voldenhoogeveen.nl; mmmmmmmm@rmiddendrenthe.nl; @gemeentenoordenveld.nl;,




Onderwerp: Mijnbouwactivteiten 

Beste collega's, 

De geplande bijeenkomst op maandagmiddag 10 oktober jl in Zwiggelte 
over kennisnetwerk mijnbouwactiviteiten is helaas niet door gegaan. Na 
wat wikken en wegen hebben we besloten om de bijeenkomst om een 
paar redenen te annuleren 
Een aantal van jullie kan niet vertegenwoordigd zijn, dat is natuurlijk 
jammer. Zeker gezien de opgave waarvoor wij bijna allemaal aan de lat 
staan. Verder is het van belang dat er voldoende commitment en 
‘aandacht is voor dit onderwerp op managementniveau 
We willen daarom eerst een gesprek organiseren tussen de betrokken 
managers/opdrachtgevers/teamleiders over wat ons te doen staat en wie 
wat kan bijdragen aan de samenwerking. 
Ik verzoek jullie daarom naam en mailadres van julie leidinggevende te 
mailen om een afspraak te plannen om hierover te spreken. 
Graag ontvang ik die gegevens binnen een week. 

Met vriendelijke groet, 

nr 

Secretariaat Team Milieu, Bodem en Energie 
ER GJ onthe.nl 

DISCHAIMER. 
Aan de informatie in deze e-mail en ieder aangehecht databesand kunen geen rechten worden ontleend en de gemeente Aa en Hurze aanvaardt geen aansprakeljkheid voor schade als gevolg van onjisiheden enof gedateerde 
‘informarie. 
Als u nier de bedoelde ontvanger bent wilt 1 dan dit bricht en ieder aangehecht databestand verwijderen en de afzender hiervan via e-mait op de hoogte stellen. 

DISCLAIMER. 
Aan de informatie in deze e-mait en ieder aangehecht databestand kunnen geen rechten worden onteerd on de gemeente Aa en Hurze aamvaardt geen aansprakelijkheid voor schade ais gevolg var onjuisheden en/of gedateerde 
informatie. 
Als u nier de bedoelde ontvanger bent wil ur dan dit bricht en iedur aangehecht databestand verwijderen en de aftender hiervan va e-mait op de hoogte stellen. 

               
Disclaimer 

Aan de Informatie In deze e-mail en leder aangehecht databestand Kunnen geen rechten worde mall te vertrouwelijk et ts uitsluitend bestemd vaar de geadresseerde. De 
gemeente Assen aanvaardt geen aansprakelijkheid vaar sehade al: g van onjuistheden le of van sen onjuiste en anvaliedige ve on ontvangst van Informatie 

DISCLAIMER. 
Aan de informatie in dez e-mailen ieder aangehecht databestand kunnen geen rechten worden ontleend on de gemeente Aa en Hurze aamaardt geen aansprakelijkheid voor schade aìs gevolg van onjuisheden en/of gedateerde 
informatie. 
Als u nier de bedoelde ontvanger bent wil ur dan dit bricht en ieder aangehecht databestand verwijderen en de aftender hiervan via e-mait op de hoogte stellen.


"
1096,1129,16.887,Mail,2017-05-17 00:00:00,2017-05-17 16:58:29,Re  laatste versie (7) ,"


Date : 17-5-2017 16:58:29 
F nn 
U ee 
Subject : Re: laatste versie 

Prinm. Laat me ff weten hoe laat je denkt er te kunnen zijn. 
Ik ga zeker nog weer terug Vries. 
Ik heb trouwens de hele middag hiervoor geblokt 

Verstuurd vanaf mijn iPad 

Op 17 mei 2017 om 16:52 heeft NN assen bet volgende geschreven: 

Don, 

Hier de laatste versie. 

Heb nav de opmerkingen van gisteren de hoofdstukken tot aan schade bijgewerkt. 

Ik ga morgenochtend eerst nog het hoofdstuk risicobeheersysteem aanpassen, daarna kom ik naar Vries. 

Wat mij betreft ga jij morgen alvast opnieuw door het stuk heen en check je of de aanpassingen naar jou mening correct zijn. 

Daarna kunnen we dan samen helemaal doorheen lopen. 

Ga jij na de advocaat nog terug naar Vries? 

Met vriendelijke groeten, 

Beleidsspecialist 

Gemeente Assen 

Noordersingel 33 | Assen 

Postbus 30018 | 9400 RA | Assen 

assen.nl 

website: www.assen.nl 

Disclaimer: 
Aan de informatie in deze e-mail en ieder aangehecht databestand kunnen geen rechten worden ontleend. De e-mail is vertrouwelijk en is uitsluitend bestemd voor de geadresseerde. De gemeente Assen 
aanvaardt geen aansprakelijkheid voor schade als gevolg van onjuistheden, gedateerde informatie of van een onjuiste en onvolledige verzending en ontvangst van informatie. 

zienswijze winningsplan Westerveld 1 /mei.docx=


"
539,572,9.2,Document,2018-06-20 00:00:00,,antwoordstrook ingevuld.pdf_,"




9.2 
      

Antwoordstrook “Beving Zuidlaren’ bij de aanbiedingsbrief 





Schadedossier(s): 131680 

Adres: 

PC+woonplaats: 9403 TW Assen 

Naam: namens Gemeente Assen 



Ja, ik accepteer het aanbod zoals omschreven in deze aanbiedingsbrief. Ik wil het bedrag van 

Ke EN -: ontvangen op mijn bankrekening 

Mijn bankgegevens zijn 



IBAN-nummer 



    
    
    Ten name van ee SSN 

Adres rekeninghouder Dostbre oo Ö 

Postcode en plaats DEE WMA Wesen 

Ja, ik accepteer het aanbod zoals omschreven in deze aanbiedingsbrief. Ik wil de schade laten 

herstellen door een door CVW gecontracteerd bouwbedrijf. Graag ontvang ik aanvullende informatie 
over hoe dit in zijn werk gaat 







Nee, ik accepteer het aanbod zoals omschreven in deze aanbiedingsbrief niet 



| Ruimte voor opmerkingen 

L 



Plaats: Áseen Plaats 

Datum: [zy )loffel (efo) oee (IUU     
  

BRON VAN ONZE ENERGIE


"
387,420,16.61,Mail,2018-11-09 00:00:00,2018-11-09 09:24:36,181109 Status-update definitief besluit betreffende het winningsplan Westerveld (NAM) ,"


Date : 9-11-2018 09:24:36 16.61 

F ee) 
To: VN proviociegreningen.nl'"""" EE provinciegroningen.ol, ""2 provinciegroningen.nl’"" ME provinciegroningen.nl, 
U | nn nn) nn) nn | 
VN aae nhunze nl"" BE aaenhunze.nl, ME ss en. nl Ns sen. nl, Ns ena.nl, 
VE öleek.nl'"" lee kol, rilde ndre nthe.nl'""' nnn middendrenthe.nl, ""MK ge meente noordenveld.nl"""""" 
B ze meentenoordenveld.nl, NN gemeentenoordenveld.nl’"" ON  gemeentenoordenveld.nl, 
VN © ze mee ntenoordenveld.nl"""""" MN 2 ge mee ntenoordenveld.nl, ""MKO ty naarlo.nl'""' MK ty naardo.nl, 
VKS oos ts telling ve f.nl'"" Moos tstellingwerf.nl, ""BN ooststellingverf.nl'"" MN ooststellingwerf.nl, 
VN vodelta.nl’"" MN voce lta.nl, vroe lta-ol'' © vrelodelta.nl, 
Voorde rzijlvest.nl’"""" Mo orde rzijlves t.nl, MK noorde rzijlves t.nl"" MK noorde rzijlvest.nl, 
VEN noorderzijlvest.nl'"""" MK noorde rzijlvest.nl, ""MN @noorde rzijlves t.nl"" MN noorderzijlvest.nl, ""B hunzeenaas.nl'"""" 
BE hunzeenaas-nl, MK hunzee naas.nl'"" MK hunze enaas.nl, '' MK © voe tte rs kipfryslan.nl'""' ME vre tte rskipfryslan.nl 

SEN A 
B nine nl 
Subject : 181109 Status-update definitief besluit betreffende het winningsplan Westerveld (NAM) 

Geachte adviseurs, 

Ik wil u graag een update geven van de status van het definitieve besluit Westerveld. Gisteren is namelijk bekend geworden dat het definitieve besluit Westerveld genomen 

gaat worden en vanaf volgende week gepubliceerd wordt. De ter visie legging van het definitieve besluit inclusief de Nota van Antwoord (met daarin de beantwoording van 

alle zienswijzen) is van donderdag 15 november 2018 tot en met donderdag 27 december 2018. In aanloop naar de publicatie zal er op bestuurlijk niveau in ieder geval 

contact worden gezocht met de burgemeester van de gemeente Assen en de gedeputeerde van de provincie Drenthe. 

Er zullen kennisgevingen worden gepubliceerd in dezelfde huis-aan-huisbladen als de kennisgeving van het ontwerp-instemmingsbesluit en in de Staatscourant voorafgaand 

aan de ter inzage legging. Daarnaast krijgen alle indieners van een zienswijze persoonlijk een brief thuisgestuurd ter kennisgeving van de publicatie van het besluit. 

Graag wil ik de betrokken gemeenten vragen het definitieve besluit inclusief de Nota van Antwoord vanaf 15 november 2018 in het gemeentehuis beschikbaar te stellen voor 

een ieder die het wil inzien. Tevens zal het definitieve besluit inclusief de Nota van Antwoord bij het ministerie van Economische Zaken en Klimaat liggen en zullen alle stukken 

digitaal toegankelijk zijn via de ter inzage pagina op http://www.nlog.nl/. 

Ik zal binnenkort een WeTransfer sturen met geanonimiseerde versies van het winningsplan en alle adviezen voor de ter inzage legging. Het definitieve besluit inclusief de 

Nota van Antwoord kan op woensdag 14 november 2018 verstuurd worden. Op dit moment wordt de laatste hand aan formuleringen in het besluit gelegd. Pas volgende 

week kan tot ondertekening worden overgegaan. 

Ik hoop u hiermee voldoende te hebben geïnformeerd. Mocht u nog vragen hebben dan hoor ik dat uiteraard graag. 

Met vriendelijke groet, 

Projectsecretaris Winningsplannen 

Directie Energie & Omgeving 

Ministerie van Economische Zaken en Klimaat 

Bezuidenhoutseweg 73 | 2594 AC | Den Haag | 3° C-Zuid 

Postbus 20401 | 2500 EK | Den Haag 

En 

BN inez 
www.rijksoverheid.nl/ezk 

Dit bericht kan informatie bevatten die niet voor uis bestemd. Indien u 

miet de geadresseerde bent of dit bericht abusievelijk aan u is gezonden, 
wordt u verzocht dat aan de afzender te melden en het bericht te 

verwijderen. 
De Staat aanvaardt geen aansprakelijkheid voor schade, van welke aard 
ook, die verband houdt met risico's verbonden aan het elektronisch 

verzenden van berichten. 

m
d
 

This message may contain information that is not intended fr you. lfyou 
are not the addressee or if this message was sent to you by mistake, you 
are requested to inform the sender and delete the message. 
The State accepts no liability for damage of any kind resulting from the 
risks inherent in the electronic transmission of messages.


"
745,778,16.664,Mail,2018-01-31 00:00:00,2018-01-31 18:34:10,RE  Agenda overleg extern kennisnetwerk mijnbouwwet d d  1 februari 2018 ,"


Date : 31-1-2018 18:34:10 16.664 

F | 
To : EN 2 2cnhunze. ol, CC Cn 
Ce : © mmm nn 
…____@ nn mmm | mm 

nn pn nn nn 
cle volde nhoogeveen.nl NN gemeentevesterveld.nl, vrede kta-nl. 

VE > pp, nh, NN cire the, 
mmm) EN mmm nn 
mm nn nn nn 

ee | | 
Subject : RE: Agenda overleg extern kennisnetwerk mijnbouwwet d.d. 1 februari 2018 

Attachment : Evaluatie van adviesrecht Winningsplannen kleine velden (zonder bijlagen) (2). pdf;image001.png; 

Beste allen, 

Bijgaand stuur ik jullie het door RVO opgeleverde rapport met de evaluatie van het adviestraject op de winningsplannen. Morgenochtend spreek ik graag met jullie het 

overzicht van aanbevelingen door (hoofdstuk 8). 

Hartelijke groet, 

Ministerie van Economische Zaken en Klimaat 

DGETM- Directie Energie en Omgeving 

Bezuidenhoutseweg 73 

2594 AC Den Haag 

minez.nl 

Van: 
Verzonden: dinsdag 30 januari 2018 12:15 

Aan 

CC 

Onderwerp: RE: Agenda overleg extern kennisnetwerk mijnbouwwet d.d. 1 februari 2018 

Dn, 

Dank voor alle stukken voor a.s. donderdag , daarbij mag bijgaande brief natuurlijk niet ontbreken. Deze kreeg ik gisteren via een oplettende collega © 

Met wiendelijke groet, 

nn 
Projectcoördinator - beleidsmedewerker RO 

Gemeente Aa en Hunze 
Postbus 93 «* 9460 AB Gieten 

Spiekersteeg 1 «* 9461 BH Gieten 

vwvw.aaenhunze.nl 

Van: drenthe.nl 

Verzonden: maandag 29 januari 2018 11:58 

A 

Onderwerp: Agenda overleg extern kennisnetwerk mijnbouwwet d.d. 1 februari 2018 

Dag allemaal, 

En dan nogmaals de stukken behorend bij agendapunt 3. Mijn excuses voor de vele mails. 

Met vriendelijke groet, 

Team Milieu, Bodem en Energie 

Aanwezig op: maandag, dinsdag en donderdag 

www.provincie.drenthe.nl 

provincie Drenthe 

DISCLAIMER: 
Aan de informatie in deze e-mail en ieder aangehecht databestand kunnen geen rechten worden ontleend en de gemeente Aa en Hunze aanvaardt geen aansprakelijkheid voor schade als gevolg van onjuistheden en/of gedateerde 

informatie. 

Als u niet de bedoelde ontvanger bent wilt u dan dit bericht en ieder aangehecht databestand verwijderen en de afzender hiervan via e-mail op de hoogte stellen. 

Dit bericht kan informatie bevatten die niet voor u is bestemd. Indien u 

miet de geadresseerde bent of dit bericht abusievelijk aan u is gezonden, 
wordt u verzocht dat aan de afzender te melden en het bericht te 

verwijderen. 
De Staat aanvaardt geen aansprakelijkheid voor schade, van welke aard 
ook, die verband houdt met risico's verbonden aan het elektronisch 

verzenden van berichten. 

This message may contain information that is not intended fr you. lfyou 
are not the addressee or if this message was sent to you by mistake, you 
are requested to inform the sender and delete the message. 
The State accepts no liability for damage of any kind resulting from the




risks inherent in the electronic transmission of messages.






Evaluatie Adviesrecht Winningsplannen 

kleine gasvelden 

Versie 1.0 

Datum 7 november 2017 
Status Definitief




Concept | Evaluatie Adviesrecht Winningsplannen 

kleine gasvelden | 30 oktober 2017 

Colofon 

Projectnummer 111863/02 

Versienummer 1.0 

Contactpersoon | 

projectleider 

nn 

© ""Oo …n! 

Directie Nationale Programma's | Team Gebied en 

Ruimtelijke Ontwikkeling 

Croeselaan 15 | 3521 BJ Utrecht 

Postbus 8242 | 3503 RE Utrecht 

Auteurs | 

Pagina 2 van 20




4,1 

4.2 

4,3 

4,4 

4,5 

5.1 

5.2 

5.3 

5.4 

5.5 

5.6 

7.1 

7.2 

7.3 

8.1 

8.2 

8.3 

Concept | Evaluatie Adviesrecht Winningsplannen 

kleine gasvelden | 30 oktober 2017 

Inhoud 

Colofon —2 

Inleiding —4 

Aanpak-—5 

Verwachtingenmanagement—6 

Omgevingsmanagement—7 

Samenbinden van belanghebbenden—7 

Betrek de omgeving zo vroeg mogelijk—7 

Transparantie en vertrouwen—8 

Omgevingsmanagement is een gezamenlijke verantwoordelijkheid—10 

Maatwerk—10 

Kennis en ervaring—11 

Informatie van het ministerie en de initiatiefnemer—11 

SodM- en Tcbb advies—12 

Ervaringen van andere organisaties—12 

Samenwerking met de regionale partners—12 

Het inzetten van omgevingsdiensten—13 

Het inhuren van (contra)expertise—13 

Planning en proces—14 

Praktische zaken—15 

Vertrouwelijkheid en openbaarheid—15 

Kosten —15 

Overige mijnbouwactiviteiten—15 

Overzicht van de aanbevelingen—17 

Voor de initiatiefnemer—17 

Voor het ministerie—17 

Voor de decentrale overheden—19 

Ten slotte —20 

Pagina 3 van 20




Concept | Evaluatie Adviesrecht Winningsplannen 

kleine gasvelden | 30 oktober 2017 

Inleiding 

Per 1 januari 2017 is de Mijnbouwwet veranderd en worden gemeenten, provincies 

en waterschappen o.a. in de gelegenheid gesteld om advies uit te brengen over de 

instemming van de minister met winningsplannen. Voor zowel het ministerie als de 

betrokken overheden is het nog zoeken naar een zodanige invulling van de 

adviesrol, dat deze optimaal bijdraagt aan een goed onderbouwde besluitvorming 

door de minister. De eerste winningsplannen hebben nu de adviesprocedure 

doorlopen. De ervaringen vanuit deze procedures kunnen leerzaam zijn voor zowel 

het ministerie als gemeenten, provincies en waterschappen. 

Het ministerie van Economische Zaken en Klimaat (EZK) heeft om die reden aan 

RVO.nl gevraagd om met een aantal partijen te gaan praten om hun ervaringen tot 

nu toe te inventariseren. Dit met als doel om EZK te informeren over de bevindingen 

en waar nodig aanbevelingen te doen aan zowel EZK als de overige betrokken 

partijen over het proces. 

In deze rapportage doen we verslag van onze bevindingen en delen we onze 

conclusies. In hoofdstuk twee beschrijven we de aanpak, waarbij we verwijzen naar 

de verslagen van de gevoerde gesprekken, die als bijlagen zijn bijgevoegd. 

De gesprekken geven ons aanleiding tot een aantal constateringen, die we in de 

hoofdstukken 3 tot en met 7 hebben weergegeven. Aan onze constateringen hebben 

we zo veel mogelijk aanbevelingen verbonden voor de bij het adviesproces 

betrokken partijen. 

De aanbevelingen hebben we in hoofdstuk 8 gegroepeerd naar acties voor de 

initiatiefnemers, het ministerie en vervolgens de decentrale overheden. 

Pagina 4 van 20




Concept | Evaluatie Adviesrecht Winningsplannen 

kleine gasvelden | 30 oktober 2017 

Aanpak 

In overleg met EZK is een selectie gemaakt van winningsplannen waar de 

procedurestap van adviesaanvraag heeft plaatsgevonden. 

Dit heeft geleid tot een selectie van de volgende 3 projecten 

-__ Winningsplan Oudendijk 

-__ Winningsplan Slootdorp 

-__ Winningsplan Westerveld 

Daarnaast is gesproken met provincie Noord-Brabant omdat ze bezig zijn om een 

werkwijze te ontwikkelen voor de provincies bij het doorlopen van de procedure bij 

mijnbouwactiviteiten. 

De betrokken provincies, waterschappen en gemeenten zijn benaderd voor een 

gesprek. De bereidheid om deel te nemen aan het gesprek was groot. Dit heeft per 

winningsplan geleid tot een evaluatiegesprek met de betrokken partijen en 2 

bilaterale gesprekken met betrokkenen die niet aanwezig konden zijn bij het 

gesprek. 

Ter voorbereiding van het gesprek heeft RVO beknopt het dossier bekeken en een 

gesprek gehad met Justine Oomes, de projectleider winningsplannen bij het 

ministerie van Economische Zaken. 

De uitnodiging aan de deelnemers van het gesprek bevatte onder meer een agenda. 

Van het gesprek is een verslag gemaakt en deze is definitief gemaakt na accordering 

door de deelnemers. 

Voor provincies, gemeenten en waterschappen is het de eerste keer dat ze een 

adviesaanvraag voor een winningsplan in behandeling hebben genomen. Door de 

partijen wordt daarmee verschillend omgegaan: 

1) Erzijn partijen die geen advies hebben uitgebracht, omdat ze inhoudelijk 

geen op- en aanmerkingen hebben op het plan, door het vertrouwen dat 

EZK / SodM het winningsplan goed kan beoordelen en/of omdat ze 

onvoldoende inhoudelijke expertise hebben om een advies op te stellen. 

2) Erzijn partijen die reageren, niet omdat ze inhoudelijk aanvullingen hebben, 

maar om een politiek statement te maken 

3) Erzijn partijen die gereageerd hebben omdat ze met inhoudelijke vragen / 

zorgen zitten, dit in een aantal gevallen gevoed door onduidelijkheden / 

slordigheden in winningsplan. 

4) Combinatie van punt 2 en 3. 

Een overleg tussen EZK en provincies, gemeenten en waterschappen over deze 

evaluatie en inhoudelijk de adviezen wordt op prijs gesteld. Dit met name om in een 

vervolgprocedure een betere inschatting te kunnen maken welke 

opmerkingen/adviezen effectief zijn en de wijze van afstemming tussen EZ en de 

decentrale overheden te verbeteren. 

In de volgende hoofdstukken wordt, op basis van de gesprekken, een analyse 

gegeven van de uitkomsten en aanbevelingen gedaan voor het vervolg. 

Pagina 5 van 20




Concept | Evaluatie Adviesrecht Winningsplannen 
kleine gasvelden | 30 oktober 2017 

Verwachtingenmanagement 

De goedkeuring van een (wijziging van een) winningsplan is één van de laatste 

stappen in de besluitvorming rond het winnen van delfstoffen in een gebied. Het 

besluit, dat er winning kan plaatsvinden is dan eigenlijk al genomen, het gaat dan 

met name om de wijze waarop. Dat beperkt de speelruimte in de advisering 

aanzienlijk. Dat knelt, met name als de gemeente en provincie bij de besluitvorming 

over de winningsvergunning niet of al lang geleden betrokken zijn. 

In de mijnbouwwet is geen nadere invulling gegeven waar het advies van de 

decentrale overheden betrekking op kan hebben. Wel zijn er voor de minister 

kaders, waarbinnen het winningsplan moet worden beoordeeld verbinden: de 

afwegingsruimte in de Mijnbouwwet bevat redenen van het belang van veiligheid 

voor omwonenden en schade aan gebouwen, het planmatig beheer van delfstoffen 

en nadelige gevolgen voor het milieu en voor de natuur. In de EZ-brief met de 

adviesaanvraag is dit inmiddels scherper geformuleerd. De provincies kijken 

inhoudelijk met name naar effecten op drinkwater en natuur. De waterschappen 

kijken naar de effecten op waterveiligheid (waterkeringen), waterkwantiteit en 

waterkwaliteit. Voor de gemeente is het toetsingskader het meest lastige en wordt 

grotendeels bepaald door het effect/risico van de gaswinning voor de bewoners. 

De minister vraagt advies aan de colleges van B en W‚ Gedeputeerde Staten en de 

dagelijkse besturen van de waterschappen. Daarmee is de advisering een 

bestuurlijk/politieke aangelegenheid geworden: de lokale en regionale besturen 

moeten zich politiek verantwoorden over het uitgebrachte advies, de minister over 

